難易度,問題番号,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説
初級,50,"HAZETのツールキャビネットやワゴンを移動させる際、キャビネットを安全に押したり引いたりするために側面に設置されている金属製またはプラスチック製の部品は何ですか？","移動用ハンドル（取っ手）","キャスターブレーキ","サイドパネル","引き出しラッチ",A,"ツールキャビネットの側面には、安全かつスムーズに移動操作ができるよう、頑丈な「ハンドル（取っ手）」が標準装備されています。"
中級,1,"HAZETの代表的なコンビネーションレンチ「600N」のめがね部分は、何度の角度でオフセット（曲げ）されていますか？","15度","30度","45度","75度",A,"600Nレンチのめがね部分は15度傾いており、平面上で作業する際に手が干渉しないように設計されています。"
中級,2,"HAZETの「600N」コンビネーションレンチのスパナ部は、柄に対して何度傾いていますか？","15度","0度","30度","45度",A,"コンビネーションレンチ「600N」のスパナ部も、めがね部同様に15度傾いて設計されており、狭い場所での繰り返し作業でレンチを裏返して使う際に有効な角度です。"
中級,3,"HAZETの工場「Plant 2（第2工場）」があるドイツの町はどこですか？","ハインスベルク","レムシャイト","デュッセルドルフ","ケルン",A,"HAZETの第2工場は、レムシャイトから車で約1時間離れたハインスベルク（Heinsberg）にあり、最先端の溶接・塗装技術や物流センターを有しています。"
中級,4,"HAZETの「Plant 3（第3工場）」で主に生産されている、同社の看板製品は何ですか？","ツールキャビネット・ツールワゴン","プライヤー（ペンチ類）","スパナ・めがねレンチ","ドライバービット",A,"レムシャイトの産業エリアにある第3工場は、ツールワゴン（Assistentシリーズなど）やキャビネット等の板金・溶接製品の専用製造工場となっています。"
中級,5,"HAZETを代表するプレセット型トルクレンチ「SYSTEM 5000-3CT」シリーズの締め付け測定精度許容差はどれくらいですか？","±3%","±1%","±5%","±10%",A,"5000-3CTシリーズは、右締め方向において目盛値の「±3%」という高精度なトルク測定許容値を保証しています。"
中級,6,"HAZETのハイエンド仕様のトルクレンチ「SYSTEM 6000-1CT」シリーズの締め付け測定精度許容差は原則としてどれくらいですか？","±2%","±4%","±1%","±5%",A,"6000-1CTシリーズは、DIN EN ISO 6789の基準に準拠し、極めて高い測定精度である「±2%（一部大型モデル除く）」を実現しています。"
中級,7,"HAZETの高性能ラチェット「HiPer（ハイパー）」シリーズ（例：916HP）の内部ギヤの歯数はいくつですか？","90枚","32枚","72枚","120枚",A,"HiPerラチェットシリーズは、極小ヘッドの中に「90枚ギヤ」を内蔵しており、細かい送り角で作業が可能です。"
中級,8,"歯数が90枚あるHAZETの「HiPer」ラチェットの、1クリックあたりの送り角（動作角度）は何度ですか？","4度","5度","3度","11.25度",A,"360度を90分割するため、送り角は「4度」となります。これにより、エンジンルームなどの超狭所でも確実にネジを回せます。"
中級,9,"HAZETのロングセラー1/2インチ標準ラチェット「916SP」のギヤ歯数はいくつですか？","32枚","20枚","72枚","90枚",A,"伝統的な「916SP」は頑強な「32枚ギヤ」を採用しています。歯が粗い分、1つ1つのギヤの肉厚があり、高い耐久性を持ちます。"
中級,10,"HAZETの最もスタンダードな1/4インチミニラチェット「863P」のギヤ歯数はいくつですか？","20枚","32枚","60枚","90枚",A,"昔ながらの1/4ラチェット「863P」は、非常にシンプルな「20枚ギヤ」設計で、故障しにくく長寿命なのが特徴です。"
中級,11,"ギヤ歯数が32枚である1/2インチラチェット「916SP」の送り角は何度ですか？","11.25度","18度","5度","15度",A,"360度を32分割するため、送り角は「11.25度」になります。"
中級,12,"ギヤ歯数が20枚である1/4インチミニラチェット「863P」の送り角は何度ですか？","18度","11.25度","20度","15度",A,"360度を20分割するため、送り角は「18度」になります。"
中級,13,"1950年代の空冷VWビートルなどのスペアタイヤに収納できた、コレクターに大人気の丸型工具箱の通称は何ですか？","Roundbox（またはTourist）","SpareTray","TireCase","BeetleDisk",A,"スペアタイヤのハブ部分の凹みにすっぽり収まるスチール製の丸型ケースは、コレクターの間で「Roundbox（ラウンドボックス）」や「Tourist（ツーリスト）工具セット」と呼ばれています。"
中級,14,"1950年代の丸型工具箱（Roundbox）で、1965年より前の製造工具であることを見分けるロゴの特徴は何ですか？","小文字の「azet」表記ロゴ","大文字の「HAZET」表記ロゴ","王冠マークの刻印","ロゴが一切入っていない",A,"1965年以前の古いHAZET工具には、小文字をベースにした「azet」ロゴが刻印されており、ヴィンテージ品を見分ける手がかりになります。"
中級,15,"1950年代半ば以降のビートル用丸型工具箱で、工具のガタつきを防ぐために内面に施されたスプレー塗装の質感は何ですか？","フロッキング（起毛仕上げ）","鏡面研磨仕上げ","ラバーコーティング","梨地仕上げ",A,"中期のラウンドボックスから、スプレーで繊維粉末を吹き付けてフェルトのようなフワフワした質感にする「フロッキング（Flocking）」加工が施され、工具が傷つくのを防いでいました。"
中級,16,"現在も生産されている、HAZETの折りたたみ式（伸縮式）キャビネットの代表型番は何ですか？","166N","179N","180","178N",A,"初代のギミックを受け継ぎ、現代でも販売されているフォールディング・ツールワゴンは「Assistent 166N」です。"
中級,17,"「SmartRail」で採用されている、ソケットを差し込んで軽く回すだけでロック・解除ができる機構の名前は何ですか？","ツイストロック（Twist-to-lock）","ボールスナップ","マグネット吸着","スライドキャッチ",A,"SmartRailは「ツイストロック」式を採用しており、ソケットを少し回転させて固定するため、逆さに吊るしても外れません。"
中級,18,"「SmartCase」の開閉カバー部分で、機械的なラッチではなく、磨耗に強い何を使って固定していますか？","マグネット（磁石）","マジックテープ","ジッパー（ファスナー）","金属スナップ",A,"SmartCaseはケースの開閉部分に「マグネットファスナー」を採用しており、ワンタッチで摩耗なくスムーズに開閉できます。"
中級,19,"HAZETの1/4インチ差込角のプレセット型トルクレンチ「5108-3CT」のトルク測定範囲はどれくらいですか？","2.5 – 25 Nm","1 – 9 Nm","10 – 60 Nm","40 – 200 Nm",A,"「5108-3CT」は、自転車やオートバイの小径ボルト、エンジン周辺のカバー類の締付に適した「2.5 – 25 Nm」の範囲を持ちます。"
中級,20,"HAZETの3/8インチ差込角のプレセット型トルクレンチ「5110-3CT」のトルク測定範囲はどれくらいですか？","10 – 60 Nm","2.5 – 25 Nm","40 – 200 Nm","60 – 320 Nm",A,"「5110-3CT」は、中細ボルトの締付に最適な「10 – 60 Nm」の測定範囲を持つ3/8サイズ定番のトルクレンチです。"
中級,21,"HAZETの1/2インチ差込角のプレセット型トルクレンチ「5122-3CT」のトルク測定範囲はどれくらいですか？","40 – 200 Nm","10 – 60 Nm","60 – 320 Nm","300 – 800 Nm",A,"「5122-3CT」は、乗用車のホイールナットの締め付け（約100〜120Nm）に最適な「40 – 200 Nm」をカバーする最も人気のモデルです。"
中級,22,"HAZETの大型3/4インチ差込角トルクレンチ「5145-3CT」のトルク測定範囲はどれくらいですか？","300 – 800 Nm","40 – 200 Nm","60 – 320 Nm","100 – 400 Nm",A,"トラックや建設機械、大型産業機械の締付作業に用いられる「5145-3CT」は、「300 – 800 Nm」の巨大なトルクレンジに対応します。"
中級,23,"HAZETの超大型トルクレンチ「5145-3CT」の本体重量は約何kgありますか？","約 6.7 kg","約 2.5 kg","約 12.0 kg","約 4.5 kg",A,"800Nmの締付に対応するため、非常に肉厚で頑強な構造になっており、本体重量は「6.7kg」に達します。"
中級,24,"HAZETのトルクレンチ「5145-3CT」の全長はどれくらいですか？","1271 mm（約1.27メートル）","750 mm","980 mm","1500 mm",A,"大トルクを人の力で安全に導入するため、レバー比を稼ぐ長いシャフトが採用されており、全長は「1271mm」あります。"
中級,25,"HAZETの最も代表的な1/2インチソケットレンチセット（スチール箱入りなど）の型番は何ですか？","900シリーズ","850シリーズ","880シリーズ","1000シリーズ",A,"「900」は差込角1/2インチ（12.5mm）を意味し、多くのプロ整備士に愛用されているHAZETの超定番ソケットセットの型番です。"
中級,26,"HAZETの両口スパナ「450N」のヘッド部分は、使用時の応力を分散し、より大きなトルクに耐えられるよう、どのような厚みの設計になっていますか？","中央部が膨らみ、端に向かって薄くなるスリムデザイン","均一な一定の平坦な厚み","プラスチックの補強材をかぶせた肉厚デザイン","ヘッドのみ極端に厚くした四角いブロック形状",A,"450Nスパナのヘッド部は、スリムで狭所に入りやすい形状でありながら、最も負荷がかかる根元に向けて肉厚を持たせる美しい応力分散設計になっています。"
中級,27,"HAZETの「600N」コンビネーションレンチが、他社の一般的なレンチに比べて全長がやや長めに設計されている主な理由は何ですか？","少ない力（軽いテコ）で大きな締付トルクをかけるため","単に材料の余りを使用しているため","障害物を飛び越える目的のためだけ","ドイツ人の平均身長が高いため",A,"全長を長くすることで、テコの原理（モーメント）により、作業者が小さな力で確実な締め付けや緩め作業を行えるように設計されています。"
中級,28,"HAZETの「630」両口めがねレンチの立ち上がり（曲がり）形状の特徴は何ですか？","45度などのディープオフセット（深い曲がり）","完全にストレート（平ら）","75度の鋭角な直角曲がり","S字型にゆるやかに蛇行した形状",A,"「630」シリーズはディープオフセット形状になっており、奥まった位置にあるボルトや、ナットの周りの障害物を避けて確実なアクセスを可能にします。"
中級,29,"HAZETのコンビネーションレンチ「600N」の柄にデザインされている「Double-T profile」のメリットは何ですか？","強度の向上と軽量化、および手にフィットする滑り止め効果","ソケットを一時的に磁気で貼り付けるため","ボルトのネジ山を修正するため","レンチの重心を完全に先端に寄せるため",A,"Double-Tプロファイル（H型断面）は、構造工学的に最大の強度重量比を提供するとともに、指をかける凹みとなり、泥やオイルが付いた手でも滑りにくい握りやすさを実現しています。"
中級,30,"「Traction Profile（トラクションプロファイル）」のソケットやレンチがボルトの頭に当たる際、力の伝達点はどこに設定されていますか？","ボルト頭のフラットな側面（面）の中央付近","ボルト頭の鋭いカド（角）の先端","ボルト頭の最上部の平面部分","ボルト頭のネジ山の谷底",A,"Traction Profileは角に触れず、ボルトの「面（flank）」に面接触して均等に力をかけるため、ボルトを全く痛めずに高いトルクをかけられます。"
中級,31,"HAZETのドライバー「Trinamic」などで採用されているグリップの材質的な特徴は何ですか？","滑りにくいソフトな樹脂と、頑丈なハードコアの多重コンポーネント樹脂","天然木を切り出して磨き上げたオイル仕上げ","冷たいスチールの一体成型（メッキ仕上げ）","すべて軽量で壊れやすい発泡スチロール",A,"HAZETの高品質ドライバーは、手のひらに馴染んで滑りにくいソフトなエラストマー樹脂と、強度を担保する高強度のプラスチックコアを組み合わせたマルチコンポーネント構造です。"
中級,32,"HAZETのツールキャビネットや折りたたみワゴンなどで、トレイが移動時に不用意に飛び出さないようにする対策はどれですか？","キャビネット個々の引き出しにセルフクローズおよびロック機構がある","引き出し全体をガムテープで固定する","引き出し全体が常に手前に傾いている設計","トレイが絶対に引き出せない固定式である",A,"HAZETのキャビネットは、軽く押すだけで最後まで引き込まれて固定されるセルフクローズ機構や、ラッチによる各段ごとの簡易ロックが備わっており、移動時の飛び出しを防ぎます。"
中級,33,"HAZETの「Plant 1（第1工場）」が担っている、同社工具の基幹製造工程は何ですか？","鍛造、機械加工、熱処理","キャビネット用の板金と静電塗装","プラスチック樹脂の成型とパッケージング","配送と全世界への物流",A,"第1工場はHAZETの心臓部であり、最も過酷な負荷に耐える工具の強度を生み出すための「鍛造（ハイドロプレス等）」「切削機械加工」「熱処理（焼き入れ・焼き戻し）」を集中的に行っています。"
中級,34,"HAZETの工場「Plant 4（第4工場）」の役割で正しいものはどれですか？","最新のCNC切削加工などの高度な部品製造を行う工場","製品のカタログを印刷する印刷専門工場","VIGORブランドの工具だけを作る専用工場","工具の展示会と実演を行うだけのデモ施設",A,"レムシャイトにある第4工場は、最新の精密CNC加工機やマシニングセンタが並ぶ高度な自動機械加工拠点として機能しています。"
中級,35,"ソケットを保持する「SmartRail」のベースはどのような吸着手段を持っていますか？","超強力マグネット（磁石）","強力な両面テープ","ネジ留め専用の穴のみ","真空吸着盤（吸盤）",A,"SmartRailの背面全体には超強力なマグネットが仕込まれており、スチール製のツールワゴンや工場の機械の壁面などにガッチリ固定できます。"
中級,36,"HAZETの「SmartCase」に使われているケース外装素材のハイブリッド構造とは何ですか？","繊維テキスタイルの軽さと、ハードシェルプラスチックの強度","本革とチタン金属の溶接","木材とカーボンファイバーの接着","段ボールと発泡スチロール",A,"SmartCaseは、表面には軽くて汚れを落としやすいタフな繊維テキスタイル（布）を採用し、インナーやヒンジなどの骨格部分には頑強な硬質プラスチックを組み合わせたハイブリッド設計です。"
中級,37,"VIGOR（ヴィガー）のロゴマークデザインにおいて、文字のアクセントとして使われている象徴的な色はどれですか？","レッド（赤）","イエロー（黄）","ブルー（青）","グリーン（緑）",A,"VIGORブランドのロゴやパッケージには「レッド（赤）」がアクセントカラーとして採用されており、HAZETのブルーと差別化されています。"
